input,target
74.94,2439.7200000000003
78.86,2378.87
95.88,2902.3299999999995
112.79,3342.065
95.58,2880.15
103.24,3084.9999999999995
98.9,3308.55
100.09,2944.165
98.32,2846.2
98.26,2923.3900000000003
104.61,3373.825
88.24,2420.3599999999997
110.1,3586.8999999999996
109.2,3211.0499999999997
98.05,2861.425
108.05,3116.065
92.99,2923.2749999999996
94.63,2801.7949999999996
101.56,3141.33
98.1,3013.9599999999996
95.51,2570.675
93.28,2851.37
94.43,2957.0950000000003
109.39,3163.265
80.57,2275.9249999999997
103.52,3163.3599999999997
97.64,3231.92
107.28,3506.63
105.15,3483.655
72.17,2090.335
105.85,3331.5249999999996
103.24,3087.9399999999996
100.22,3180.46
95.31,2913.105
108.53,3052.055
95.87,3029.3450000000003
118.35,3317.995
105.64,3594.16
121.38,4128.009999999999
92.14,2732.57
82.44,2526.96
107.15,3300.045
108.53,3385.355
100.35,3169.435
84.61,2352.555
95.52,2778.7899999999995
106.18,3384.6200000000003
98.16,3081.38
98.84,2935.64
98.25,2818.035
90.66,2839.71
94.67,2844.575
85.73,2782.4150000000004
117.68,3769.0800000000004
95.25,3030.375
104.78,3263.81
89.78,2801.62
107.95,3444.865
81.27,2389.245
109.21,3112.225
99.65,3148.6050000000005
121.11,3754.855
86.93,2716.085
100.76,3073.28
103.67,2844.275
112.33,3880.105
95.77,3352.305
100.86,3019.7
78.58,2541.69
91.7,2830.19
104.52,3245.87
111.04,3458.21
97.18,3145.0200000000004
120.56,3596.72
117.6,3714.1
99.39,3157.545
75.86,1951.42
82.22,2747.96
92.22,2931.32
111.16,3323.05
103.1,3171.7299999999996
79.06,2508.2
97.71,2957.5049999999997
116.13,3640.7749999999996
96.25,2647.995
92.5,2873.04
120.55,3863.355
100.53,3198.865
95.21,2956.5849999999996
103.5,3059.67
100.17,3085.735
95.71,2761.205
112.08,3456.53
111.16,3384.2200000000003
108.41,3401.425
98.97,3246.915
111.47,3547.415
99.5,2930.02
104.67,3067.315
110.34,3255.5099999999998
108.09,3186.1749999999997
117.9,3460.17
104.51,3506.2850000000003
83.16,2751.32
88.4,2627.3900000000003
113.5,3489.2
96.69,3340.745
103.87,2921.235
91.49,2869.805
110.01,3675.795
96.15,2974.8950000000004
114.58,3431.9900000000002
94.68,3098.2200000000003
111.18,3750.1000000000004
106.74,3248.1299999999997
92.78,3028.81
110.99,3261.2949999999996
90.98,2834.4800000000005
91.78,2915.15
107.22,3222.46
93.75,2799.915
94.06,2983.77
96.56,3096.33
90.0,2607.59
110.45,3297.625
106.09,3318.4649999999997
99.31,2817.685
98.92,2883.2799999999997
104.5,3256.15
117.65,3729.0950000000003
108.71,3376.7149999999997
94.92,2903.67
107.77,3559.3549999999996
98.81,3064.035
98.01,2930.1150000000002
118.66,3328.44
95.81,3021.125
95.21,2856.365
80.48,2422.3300000000004
85.98,2626.55
104.51,3078.295
93.05,2928.995
105.15,3206.2450000000003
88.85,3127.745
92.33,2737.625
106.75,3317.805
114.61,3424.445
105.92,3360.0299999999997
111.98,3302.3100000000004
117.05,3601.625
110.4,3398.2100000000005
90.82,2852.41
98.95,2756.095
106.3,3348.4700000000003
95.85,2958.7349999999997
104.52,3385.5099999999998
84.21,2469.1749999999997
91.71,2798.265
105.29,3087.295
77.63,2261.1249999999995
88.92,2826.31
99.82,3145.0899999999997
82.81,2524.645
100.57,3108.6349999999998
92.0,2872.8
97.08,3096.3
97.41,3078.645
101.89,3395.935
94.36,2894.29
100.9,3320.9900000000002
93.99,2838.535
105.56,3323.7
116.94,3627.29
101.97,3245.085
101.7,3126.85
88.36,2979.07
106.93,2976.3250000000003
92.42,2967.85
91.91,2927.985
105.57,3355.115
101.81,3387.975
111.07,3606.5449999999996
114.43,3299.375
94.6,3074.0699999999997
101.28,3042.88
117.6,3639.83
109.67,3432.1549999999997
107.13,3160.7049999999995
113.06,3262.77
93.95,2908.805
106.37,3285.965
114.09,3413.355
116.21,3427.4849999999997
91.94,2825.07
97.48,2948.09
103.83,3178.265
97.11,3259.055
96.08,3037.9500000000003
106.84,3479.35
96.47,2869.085
82.12,2765.36
103.62,3177.1900000000005
95.76,2960.61
92.68,2855.9700000000003
84.34,2647.47
110.14,3147.13
77.73,2390.9750000000004
83.01,2653.965
97.24,3200.08
112.29,3512.695
113.1,3369.7299999999996
88.45,2510.955
98.22,3065.48
84.9,2338.32
110.11,3357.885
85.23,2699.715
98.57,3042.075
110.33,3345.955
97.78,2717.97
114.7,3511.41
91.3,2963.4700000000003
103.69,3145.695
108.53,3267.965
98.6,3087.9599999999996
113.86,3598.2400000000002
105.48,3370.4600000000005
83.63,2440.0849999999996
139.59,4204.615
106.49,3313.3549999999996
101.07,3252.5649999999996
86.01,2854.3150000000005
100.82,3004.27
95.4,3063.8300000000004
106.44,3465.4500000000003
103.72,3226.45
118.53,3602.525
101.42,2967.34
105.14,3388.74
103.72,3182.41
98.52,3243.5799999999995
98.17,3282.545
111.01,3205.925
107.8,3237.7200000000003
93.71,2862.705
88.87,2573.5750000000003
99.33,2927.055
111.61,3651.805
99.72,2968.79
117.46,3641.9599999999996
92.25,2548.565
101.42,3013.41
74.84,2183.56
94.04,2766.8300000000004
96.91,2956.5750000000003
105.11,3205.535
117.11,3370.025
100.35,3006.7349999999997
114.54,3632.71
106.62,3108.0800000000004
109.86,3683.71
95.34,3125.37
113.85,3422.4649999999997
89.27,2422.1349999999998
104.95,2897.7349999999997
90.48,2667.0800000000004
94.82,2802.7999999999997
85.39,2482.055
94.84,3175.69
103.51,3323.3350000000005
99.31,3186.025
86.52,2552.91
114.71,3645.4649999999997
103.37,3172.5750000000003
110.08,3394.43
107.85,3379.6449999999995
93.35,3294.345
80.55,2260.745
90.85,2765.4649999999997
112.25,3172.825
89.46,2839.7299999999996
108.16,3351.61
93.88,3209.66
103.93,3276.425
81.76,2292.7000000000003
111.67,3238.925
99.6,3325.7099999999996
108.86,2994.24
101.9,3276.7700000000004
107.98,3176.05
98.98,3002.3100000000004
107.43,3301.835
84.9,2428.4400000000005
89.19,2622.955
107.25,3278.745
99.61,3317.505
97.71,3098.8949999999995
98.2,2896.13
105.02,3220.4799999999996
94.07,2769.055
105.1,3249.7099999999996
90.84,2635.22
95.93,2894.795
109.85,3636.7549999999997
110.71,3208.475
89.03,2853.345
108.39,3284.065
89.61,2857.125
107.33,3273.775
81.01,2484.7650000000003
88.83,2734.3650000000002
94.91,3125.7850000000003
98.34,3177.67
114.24,3535.9799999999996
109.04,3562.6800000000003
115.75,3729.215
112.07,3606.0649999999996
97.17,3168.355
97.34,2790.39
110.69,3653.325
100.4,2906.1600000000003
98.43,3005.085
86.65,2768.505
98.94,2724.62
72.09,2230.245
95.44,3090.4700000000003
90.2,2805.66
106.93,3401.4950000000003
95.21,2846.185
96.71,2738.0049999999997
113.47,3497.305
89.51,2570.775
103.17,3123.315
81.05,2362.3450000000003
100.9,3131.5000000000005
104.1,3071.45
108.6,3267.7299999999996
91.01,3138.0150000000003
103.2,3166.37
103.18,3138.28
99.81,3253.285
101.5,3190.58
104.64,3423.02
103.98,3253.6900000000005
90.04,2825.01
88.04,2671.86
125.06,4049.64
119.2,3705.81
86.08,2648.25
104.5,3522.36
106.27,2950.0149999999994
107.51,3205.0850000000005
101.4,3240.96
90.73,2665.1150000000002
98.18,2910.5600000000004
95.09,3012.545
101.34,3121.3399999999997
97.32,3095.39
98.68,2936.5800000000004
110.19,3381.785
112.31,3370.365
88.19,2560.875
95.4,2781.6800000000003
92.09,2942.605
112.24,3096.43
99.41,3003.525
114.49,3350.8549999999996
95.22,2970.69
100.26,3031.36
86.51,2753.9350000000004
113.03,3531.525
96.37,2687.3450000000003
85.15,2695.135
94.08,2830.7200000000003
76.95,2368.825
99.68,3017.2900000000004
101.12,3177.5600000000004
102.88,3499.1899999999996
114.98,3510.3100000000004
96.99,3316.415
108.07,3224.345
103.12,3115.51
98.07,3197.4249999999997
79.23,2460.8350000000005
109.48,3465.7200000000003
94.96,2971.33
100.18,3325.5
87.3,2478.16
102.83,3008.995
101.08,3164.23
100.29,3495.405
98.65,2936.635
110.49,3473.055
109.66,3644.98
107.26,3439.9700000000003
133.21,4428.135
94.0,2648.03
96.2,2788.16
89.85,2461.115
104.36,3124.91
93.13,2901.365
73.02,2120.89
87.87,2745.135
100.72,3136.38
110.1,3271.93
84.43,2670.215
93.88,2788.8999999999996
98.61,2904.505
92.71,3011.7549999999997
105.31,3518.525
100.04,3211.1400000000003
103.21,3088.1749999999997
92.75,2932.055
115.37,3684.6650000000004
100.0,3149.63
112.94,3435.4300000000003
95.61,2538.955
105.9,3357.57
93.21,2866.3949999999995
90.49,2794.6249999999995
92.96,2763.2699999999995
99.54,2733.34
97.81,2982.055
115.39,3709.785
88.51,2827.005
89.1,2651.37
117.0,3596.03
106.09,3199.7149999999997
81.19,2194.195
104.97,3246.825
102.37,3364.8050000000003
78.56,2702.0
96.3,2924.54
99.83,3152.475
107.31,3017.275
109.54,3181.2200000000003
100.96,3159.68
110.33,3457.685
98.54,2795.3900000000003
91.43,2677.485
90.66,2665.6800000000003
105.43,3347.085
80.42,2433.95
106.78,3283.06
88.93,2897.255
96.41,3040.695
105.05,3072.5150000000003
112.18,3451.57
80.59,2316.565
91.94,2843.08
100.49,3261.2149999999997
94.04,3018.34
108.62,3437.7700000000004
79.14,2504.95
103.62,3324.2700000000004
104.26,3242.2700000000004
100.49,3198.8749999999995
111.02,3429.3199999999997
87.7,2774.66
111.09,3446.495
92.97,3004.495
107.26,3451.92
96.76,2891.4900000000002
108.14,3163.27
107.8,3279.84
85.36,2907.88
98.46,3125.1499999999996
99.08,2694.58
97.62,3107.4600000000005
92.44,2697.48
118.51,3649.2850000000003
102.09,2904.9849999999997
115.55,3192.505
94.31,3151.535
89.38,2896.7299999999996
101.32,3345.1
94.37,2990.5750000000003
123.9,3579.26
102.45,3457.095
111.53,3001.435
97.76,2982.38
96.74,2872.49
99.69,2956.465
103.56,2835.47
108.5,3109.22
98.78,2972.48
93.19,3075.135
89.32,2602.2999999999997
99.23,3120.215
105.73,3325.2850000000003
104.58,3350.42
99.82,2977.3199999999997
94.0,3066.36
101.47,2944.885
105.72,3342.1
99.63,2951.9549999999995
101.12,2988.51
98.49,2934.0649999999996
109.15,3118.045
95.62,2794.7700000000004
101.86,3178.09
103.94,3292.39
107.26,3272.6800000000003
114.96,3678.64
106.75,3046.655
105.99,3242.7749999999996
85.3,2731.38
106.06,3381.21
122.94,3769.79
91.7,3153.2799999999997
89.8,2791.71
97.85,2833.075
110.21,3426.0649999999996
105.25,3004.975
95.23,3078.195
99.64,3010.72
110.37,3323.695
106.73,3317.755
124.29,3793.3050000000003
110.06,3073.7799999999997
103.54,2841.82
106.15,3208.2650000000003
96.51,2996.0550000000003
90.22,2853.9700000000003
101.72,3082.08
104.91,3093.905
86.05,2660.475
94.78,2783.17
96.31,2960.595
102.66,2920.83
97.4,2941.05
104.45,2920.665
100.98,3378.82
110.6,3323.18
82.89,2692.945
116.57,3504.935
114.18,3497.4700000000003
100.5,3101.18
106.5,3147.67
106.07,3184.305
92.63,2786.975
101.65,3213.7050000000004
107.78,3191.13
103.1,3219.14
110.51,3488.3950000000004
100.95,2989.535
100.81,3109.075
92.32,2924.9399999999996
96.35,3040.845
95.4,2976.9600000000005
117.05,3828.3050000000003
102.41,2999.185
90.01,3065.1850000000004
103.99,3041.8549999999996
98.08,2912.94
69.46,2233.9999999999995
104.8,3555.16
84.47,2460.935
105.78,3018.95
90.39,2780.105
85.42,2549.89
104.94,3518.08
85.06,2673.45
95.53,2828.945
102.04,3257.2500000000005
106.12,3363.4
107.45,3069.6549999999997
99.64,3481.88
91.68,2900.2400000000002
119.24,3654.0499999999997
93.94,2865.9900000000002
118.04,3907.92
95.47,2982.735
111.61,3458.945
110.7,3125.7799999999997
89.54,2655.4300000000003
103.55,2927.3650000000002
107.55,3331.605
107.01,3363.795
98.01,2521.3450000000003
103.02,3142.49
96.05,2685.475
88.28,2787.21
109.84,3431.69
94.4,2730.4500000000003
113.8,3492.4
106.02,3298.8499999999995
91.07,2832.7949999999996
98.39,3328.695
97.14,3035.38
91.29,2603.795
105.01,3232.3050000000003
95.21,2946.515
116.32,3557.22
108.61,3296.205
91.2,2949.15
99.81,3358.725
97.73,3225.6850000000004
84.35,2488.5249999999996
109.31,3256.325
109.5,3456.93
109.26,3397.4400000000005
95.43,3243.885
110.69,3480.545
97.9,2881.51
109.35,3135.1049999999996
118.13,3654.1949999999997
101.4,3375.3500000000004
85.81,2518.145
96.83,2975.895
106.41,3291.815
112.2,3348.7999999999997
88.66,2886.0
98.09,3201.325
102.33,3147.605
104.35,2923.3349999999996
109.1,3275.49
90.52,2771.9399999999996
95.77,2954.1249999999995
110.08,3373.77
103.92,3207.74
104.48,3099.1900000000005
111.25,3407.515
101.04,3218.82
105.28,3132.55
96.85,3064.9849999999997
86.55,2743.3650000000002
87.05,2824.665
100.74,3048.0899999999997
98.0,2727.01
93.45,2939.935
103.18,3421.1800000000003
91.1,3034.93
101.11,3247.245
99.8,3323.71
91.6,2765.12
77.02,2511.2899999999995
114.57,3423.8349999999996
103.17,3095.1549999999997
73.36,2326.73
95.74,2892.47
103.94,3054.86
97.72,3122.58
105.8,3279.2000000000003
90.27,2987.785
101.75,2924.835
99.47,2990.725
98.17,2936.595
97.79,2967.695
102.0,3239.2
109.33,3180.675
94.7,3068.97
95.93,2871.0150000000003
101.61,3292.8450000000003
98.8,3258.56
103.86,3464.17
107.18,3137.0
112.91,3407.295
98.84,3146.7599999999998
77.23,2517.0650000000005
99.3,2984.82
103.54,3298.84
98.13,3021.495
